"Pledge Name","Item Name","Type","Melt Value","Store Value","Insurance","Manufacturer","Date"
"Standalone Ships - Pitbull - 10 Year","Pitbull","Ship","55.00","55.00","120 Month Insurance","DRAK","May 15, 2026"
"Standalone Ships - Pitbull - 10 Year","Self-Land Hangar","Flair","55.00","55.00","120 Month Insurance","","May 15, 2026"
"Paints - Ironclad - Wind Chill Paint","Ironclad - Wind Chill Paint","Paint","14.00","14.00","","","May 14, 2026"
"Gear - Red Festival Armor","Calva Helmet Red Festival","Flair","10.00","10.00","","","February 21, 2026"
"Gear - Red Festival Armor","Sabine Undersuit Red Festival","Flair","10.00","10.00","","","February 21, 2026"
"Upgrade - M2 Hercules to Ironclad Assault Standard Edition","Upgrade - Hercules Starlifter M2 To Ironclad Assault","CCU","15.00","15.00","","","February 04, 2026"
"Paints - Zeus Mk II - Solstice Paint 2023","Zeus Mk II - Solstice Paint","Paint","9.00","9.00","","RSI","January 28, 2026"
"Standalone Ships - Aopoa Nox LTI","Zeus Mk II MR","Ship","185.00","185.00","Lifetime Insurance","RSI","November 28, 2025"
"Standalone Ships - Aopoa Nox LTI","Self-Land Hangar","Flair","185.00","185.00","Lifetime Insurance","","November 28, 2025"
"Standalone Ships - Aopoa Nox LTI","Takuetsu Nox Model","Flair","185.00","185.00","Lifetime Insurance","","November 28, 2025"
"Standalone Ships - Aopoa Nox LTI","Nox Poster","Flair","185.00","185.00","Lifetime Insurance","","November 28, 2025"
"Upgrade - Terrapin to Railen Standard Edition","Upgrade - Terrapin To Railen","CCU","5.00","5.00","","","November 25, 2025"
"Standalone Ships - Spartan","Hermes","Ship","170.00","170.00","120 Month Insurance","RSI","November 25, 2025"
"Standalone Ships - Spartan","Self-Land Hangar","Flair","170.00","170.00","120 Month Insurance","","November 25, 2025"
"Upgrade - Stinger to Galaxy Standard Edition","Upgrade - Stinger To Galaxy","CCU","65.00","65.00","","","November 20, 2025"
"Standalone Ships - C8R Pisces plus Code Blue Paint","C8 Pisces - Code Blue Paint","Paint","230.00","230.00","120 Month Insurance","ANVL","October 13, 2025"
"Standalone Ships - C8R Pisces plus Code Blue Paint","Ares Inferno","Ship","230.00","230.00","120 Month Insurance","CRUS","October 13, 2025"
"Standalone Ships - C8R Pisces plus Code Blue Paint","Self-Land Hangar","Flair","230.00","230.00","120 Month Insurance","","October 13, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Retired Drill Head","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Pulverizer ""Payback"" LMG","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Killshot ""Payback"" Rifle","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","VCK-1 ""Payback"" Blade","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Wastelander Undersuit","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","CitizenCon Direct 2955 Trophy","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Levski Coin","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Vanduul Plushie","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Stronger Together Poster","Gear","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Wrecker Payback Arms","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Wrecker Payback Legs","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Wrecker Payback Core","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Wrecker Payback Helmet","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Carrion Payback Arms","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Carrion Payback Legs","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Carrion Payback Core","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Carrion Payback Helmet","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Sol-III Core","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Sol-III Helmet","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Sol-III Flight Suit","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Bison Military Boots","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Orsen Officer Pants","Flair","35.00","35.00","","","September 29, 2025"
"Gear - CitizenCon Direct 2955 Digital Goodies Pack","Oxhorn Service Sweater InterSec","Flair","35.00","35.00","","","September 29, 2025"
"Standalone Ships - MTC","Stinger","Ship","285.00","285.00","120 Month Insurance","ESPR","September 25, 2025"
"Standalone Ships - MTC","Self-Land Hangar","Flair","285.00","285.00","120 Month Insurance","","September 25, 2025"
"Standalone Ships - Pulse plus Dominion Paint","Pulse - Dominion Paint","Paint","115.00","115.00","Lifetime Insurance","MRAI","September 18, 2025"
"Standalone Ships - Pulse plus Dominion Paint","L-22 Alpha Wolf","Ship","115.00","115.00","Lifetime Insurance","KRIG","September 18, 2025"
"Standalone Ships - Pulse plus Dominion Paint","Self-Land Hangar","Flair","115.00","115.00","Lifetime Insurance","","September 18, 2025"
"Gear - CitizenCon 2954 Digital Goodies Pack","CitizenCon 2954 Trophy","Flair","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","CitizenCon 2954 Challenge Coin","Flair","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","Vanduul Broken Skull","Flair","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","Sandworm Plushie","Flair","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","CitizenCon 2954 Themed Storage Chest","Flair","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","OMNI-AFS-Sapphire Armored Flight Suit","Gear","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","OMNI-AFS-Sapphire Helmet","Flair","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","P8-AR ""CitizenCon 2954"" Rifle","Gear","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","P8-AR ""Blackguard"" Rifle","Gear","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","CitizenCon 2954 Themed Double Bed","Flair","30.00","30.00","","","October 11, 2024"
"Gear - CitizenCon 2954 Digital Goodies Pack","Cockpit Recorder Prop","Flair","30.00","30.00","","","October 11, 2024"
"Gear - Behring P6-LR ""Rime"" Sniper Rifle","Behring P6-LR ""Rime"" Sniper Rifle","Gear","5.00","5.00","","BEHR","May 24, 2024"
"Standalone Ship - Spartan","Paladin","Ship","195.00","195.00","120 Month Insurance","ANVL","October 23, 2023"
"Standalone Ship - Spartan","Self-Land Hangar","Flair","195.00","195.00","120 Month Insurance","","October 23, 2023"
"Package - Mustang Alpha AC Starter","Starting Money: 1,000 UEC","Ship","580.00","580.00","120 Month Insurance","","May 08, 2019"
"Package - Mustang Alpha AC Starter","Star Citizen Digital Download","Ship","580.00","580.00","120 Month Insurance","","May 08, 2019"
"Package - Mustang Alpha AC Starter","600i - 2953 Best in Show Paint","Paint","580.00","580.00","120 Month Insurance","ORIG","May 08, 2019"
"Package - Mustang Alpha AC Starter","Perseus","Ship","580.00","580.00","120 Month Insurance","RSI","May 08, 2019"
"Package - Mustang Alpha AC Starter","Self-Land Hangar","Flair","580.00","580.00","120 Month Insurance","","May 08, 2019"
"Package - Mustang Alpha AC Starter","Digital Star Citizen Manual","Flair","580.00","580.00","120 Month Insurance","","May 08, 2019"
"Package - Mustang Alpha AC Starter","Squadron 42 Digital Download","Flair","580.00","580.00","120 Month Insurance","","May 08, 2019"
"Package - Mustang Alpha AC Starter","600i Name Reservation","Flair","580.00","580.00","120 Month Insurance","","May 08, 2019"
"Package - Mustang Alpha AC Starter","600i Explorer - 2953 Best In Show Poster","Flair","580.00","580.00","120 Month Insurance","","May 08, 2019"
"---","---","---","---","---","---","---","---"
"STORE PRICES","Ship Name","Type","Price","Price","Status","Manufacturer","Focus"
"STORE","Avenger Stalker","StoreShip","60","60","[object Object]","Aegis Dynamics",""
"STORE","Avenger Titan","StoreShip","60","60","[object Object]","Aegis Dynamics",""
"STORE","Avenger Titan Renegade","StoreShip","75","75","[object Object]","Aegis Dynamics",""
"STORE","Avenger Warlock","StoreShip","85","85","[object Object]","Aegis Dynamics",""
"STORE","Eclipse","StoreShip","300","300","[object Object]","Aegis Dynamics",""
"STORE","Eclipse","StoreShip","300","300","[object Object]","Aegis Dynamics",""
"STORE","Gladius","StoreShip","90","90","[object Object]","Aegis Dynamics",""
"STORE","Gladius Pirate","StoreShip","110","110","[object Object]","Aegis Dynamics",""
"STORE","Gladius Valiant","StoreShip","110","110","[object Object]","Aegis Dynamics",""
"STORE","Hammerhead","StoreShip","725","725","[object Object]","Aegis Dynamics",""
"STORE","Hammerhead","StoreShip","725","725","[object Object]","Aegis Dynamics",""
"STORE","Hammerhead 2949 Best In Show Edition","StoreShip","725","725","[object Object]","Aegis Dynamics",""
"STORE","Idris-M","StoreShip","1000","1000","[object Object]","Aegis Dynamics",""
"STORE","Idris-P","StoreShip","1900","1900","[object Object]","Aegis Dynamics",""
"STORE","Idris-P","StoreShip","1900","1900","[object Object]","Aegis Dynamics",""
"STORE","Idris-P","StoreShip","1900","1900","[object Object]","Aegis Dynamics",""
"STORE","Idris-P Wikelo War Special","StoreShip","1900","1900","[object Object]","Aegis Dynamics",""
"STORE","Javelin","StoreShip","3000","3000","[object Object]","Aegis Dynamics",""
"STORE","Reclaimer","StoreShip","400","400","[object Object]","Aegis Dynamics",""
"STORE","Reclaimer 2949 Best In Show Edition","StoreShip","400","400","[object Object]","Aegis Dynamics",""
"STORE","Redeemer","StoreShip","330","330","[object Object]","Aegis Dynamics",""
"STORE","Retaliator","StoreShip","275","275","[object Object]","Aegis Dynamics",""
"STORE","Sabre","StoreShip","175","175","[object Object]","Aegis Dynamics",""
"STORE","Sabre Comet","StoreShip","185","185","[object Object]","Aegis Dynamics",""
"STORE","Sabre Firebird","StoreShip","185","185","[object Object]","Aegis Dynamics",""
"STORE","Sabre Firebird Wikelo War Special","StoreShip","185","185","[object Object]","Aegis Dynamics",""
"STORE","Sabre Peregrine","StoreShip","185","185","[object Object]","Aegis Dynamics",""
"STORE","Sabre Peregrine Wikelo Speedy Special","StoreShip","185","185","[object Object]","Aegis Dynamics",""
"STORE","Vanguard Harbinger","StoreShip","290","290","[object Object]","Aegis Dynamics",""
"STORE","Vanguard Hoplite","StoreShip","240","240","[object Object]","Aegis Dynamics",""
"STORE","Vanguard Sentinel","StoreShip","275","275","[object Object]","Aegis Dynamics",""
"STORE","Vanguard Warden","StoreShip","260","260","[object Object]","Aegis Dynamics",""
"STORE","Arrow","StoreShip","75","75","[object Object]","Anvil Aerospace",""
"STORE","Asgard","StoreShip","350","350","[object Object]","Anvil Aerospace",""
"STORE","Asgard Wikelo War Special","StoreShip","350","350","[object Object]","Anvil Aerospace",""
"STORE","Ballista","StoreShip","140","140","[object Object]","Anvil Aerospace",""
"STORE","Ballista Dunestalker","StoreShip","140","140","[object Object]","Anvil Aerospace",""
"STORE","Ballista Snowblind","StoreShip","140","140","[object Object]","Anvil Aerospace",""
"STORE","C8R Pisces Rescue","StoreShip","65","65","[object Object]","Anvil Aerospace",""
"STORE","C8X Pisces Expedition","StoreShip","45","45","[object Object]","Anvil Aerospace",""
"STORE","Carrack","StoreShip","600","600","[object Object]","Anvil Aerospace",""
"STORE","Carrack","StoreShip","600","600","[object Object]","Anvil Aerospace",""
"STORE","Carrack Expedition","StoreShip","625","625","[object Object]","Anvil Aerospace",""
"STORE","Centurion","StoreShip","110","110","[object Object]","Anvil Aerospace",""
"STORE","F7C Hornet Mk I","StoreShip","125","125","[object Object]","Anvil Aerospace",""
"STORE","F7C Hornet Mk II","StoreShip","175","175","[object Object]","Anvil Aerospace",""
"STORE","F7C Hornet Wildfire Mk I","StoreShip","175","175","[object Object]","Anvil Aerospace",""
"STORE","F7C-M Hornet Heartseeker Mk I","StoreShip","200","200","[object Object]","Anvil Aerospace",""
"STORE","F7C-M Hornet Heartseeker Mk II","StoreShip","200","200","[object Object]","Anvil Aerospace",""
"STORE","F7C-M Super Hornet Mk I","StoreShip","180","180","[object Object]","Anvil Aerospace",""
"STORE","F7C-M Super Hornet Mk II","StoreShip","240","240","[object Object]","Anvil Aerospace",""
"STORE","F7C-R Hornet Tracker Mk I","StoreShip","150","150","[object Object]","Anvil Aerospace",""
"STORE","F7C-R Hornet Tracker Mk II","StoreShip","185","185","[object Object]","Anvil Aerospace",""
"STORE","F7C-S Hornet Ghost Mk I","StoreShip","140","140","[object Object]","Anvil Aerospace",""
"STORE","F7C-S Hornet Ghost Mk II","StoreShip","185","185","[object Object]","Anvil Aerospace",""
"STORE","Gladiator","StoreShip","165","165","[object Object]","Anvil Aerospace",""
"STORE","Hawk","StoreShip","100","100","[object Object]","Anvil Aerospace",""
"STORE","Hurricane","StoreShip","210","210","[object Object]","Anvil Aerospace",""
"STORE","Paladin","StoreShip","350","350","[object Object]","Anvil Aerospace",""
"STORE","Spartan","StoreShip","80","80","[object Object]","Anvil Aerospace",""
"STORE","Terrapin","StoreShip","220","220","[object Object]","Anvil Aerospace",""
"STORE","Terrapin Medic","StoreShip","220","220","[object Object]","Anvil Aerospace",""
"STORE","Terrapin Medic Wikelo Savior Special","StoreShip","220","220","[object Object]","Anvil Aerospace",""
"STORE","Valkyrie","StoreShip","375","375","[object Object]","Anvil Aerospace",""
"STORE","Valkyrie","StoreShip","375","375","[object Object]","Anvil Aerospace",""
"STORE","Khartu-al","StoreShip","175","175","[object Object]","Aopoa",""
"STORE","Nox","StoreShip","45","45","[object Object]","Aopoa",""
"STORE","Nox Kue","StoreShip","45","45","[object Object]","Aopoa",""
"STORE","Nox Wikelo Special","StoreShip","45","45","[object Object]","Aopoa",""
"STORE","San'tok.yāi","StoreShip","240","240","[object Object]","Aopoa",""
"STORE","ATLS","StoreShip","40","40","[object Object]","Argo Astronautics",""
"STORE","ATLS GEO","StoreShip","45","45","[object Object]","Argo Astronautics",""
"STORE","Argo ATLS GEO IKTI","StoreShip","45","45","[object Object]","Banu",""
"STORE","Argo ATLS IKTI","StoreShip","40","40","[object Object]","Banu",""
"STORE","CSV-SM","StoreShip","45","45","[object Object]","Argo Astronautics",""
"STORE","MOLE","StoreShip","315","315","[object Object]","Argo Astronautics",""
"STORE","MOTH","StoreShip","315","315","[object Object]","Argo Astronautics",""
"STORE","MPUV Cargo","StoreShip","35","35","[object Object]","Argo Astronautics",""
"STORE","MPUV Personnel","StoreShip","40","40","[object Object]","Argo Astronautics",""
"STORE","MPUV Tractor","StoreShip","40","40","[object Object]","Argo Astronautics",""
"STORE","RAFT","StoreShip","190","190","[object Object]","Argo Astronautics",""
"STORE","RAFT Wikelo Work Special","StoreShip","190","190","[object Object]","Argo Astronautics",""
"STORE","SRV","StoreShip","165","165","[object Object]","Argo Astronautics",""
"STORE","ATLS Cool Metal Color","StoreShip","40","40","[object Object]","Argo Astronautics",""
"STORE","ATLS Snowland Color","StoreShip","40","40","[object Object]","Argo Astronautics",""
"STORE","Defender","StoreShip","220","220","[object Object]","Banu",""
"STORE","HoverQuad","StoreShip","30","30","[object Object]","Consolidated Outland",""
"STORE","Mustang Alpha","StoreShip","30","30","[object Object]","Consolidated Outland",""
"STORE","Mustang Beta","StoreShip","40","40","[object Object]","Consolidated Outland",""
"STORE","Mustang CitizenCon 2948 Edition","StoreShip","30","30","[object Object]","Consolidated Outland",""
"STORE","Mustang Delta","StoreShip","65","65","[object Object]","Consolidated Outland",""
"STORE","Mustang Gamma","StoreShip","55","55","[object Object]","Consolidated Outland",""
"STORE","Mustang Omega","StoreShip","55","55","[object Object]","Consolidated Outland",""
"STORE","Nomad","StoreShip","80","80","[object Object]","Consolidated Outland",""
"STORE","Corsair PYAM Exec","StoreShip","250","250","[object Object]","Drake Interplanetary",""
"STORE","Corsair PYAM Exec","StoreShip","250","250","[object Object]","Drake Interplanetary",""
"STORE","A1 Spirit","StoreShip","200","200","[object Object]","Crusader Industries",""
"STORE","A2 Hercules Starlifter","StoreShip","750","750","[object Object]","Crusader Industries",""
"STORE","Ares Star Fighter Inferno","StoreShip","250","250","[object Object]","Crusader Industries",""
"STORE","Ares Star Fighter Ion","StoreShip","250","250","[object Object]","Crusader Industries",""
"STORE","C1 Spirit","StoreShip","125","125","[object Object]","Crusader Industries",""
"STORE","C1 Spirit Wikelo Special","StoreShip","125","125","[object Object]","Crusader Industries",""
"STORE","C2 Hercules Starlifter","StoreShip","400","400","[object Object]","Crusader Industries",""
"STORE","Intrepid","StoreShip","65","65","[object Object]","Crusader Industries",""
"STORE","Intrepid Wikelo Work Special","StoreShip","65","65","[object Object]","Crusader Industries",""
"STORE","M2 Hercules Starlifter","StoreShip","520","520","[object Object]","Crusader Industries",""
"STORE","Mercury Star Runner","StoreShip","260","260","[object Object]","Crusader Industries",""
"STORE","Cutlass Black PYAM Exec","StoreShip","110","110","[object Object]","Drake Interplanetary",""
"STORE","Cutlass Black PYAM Exec","StoreShip","110","110","[object Object]","Drake Interplanetary",""
"STORE","Buccaneer","StoreShip","110","110","[object Object]","Drake Interplanetary",""
"STORE","Caterpillar","StoreShip","330","330","[object Object]","Drake Interplanetary",""
"STORE","Caterpillar Pirate","StoreShip","330","330","[object Object]","Drake Interplanetary",""
"STORE","Clipper","StoreShip","150","150","[object Object]","Drake Interplanetary",""
"STORE","Corsair","StoreShip","250","250","[object Object]","Drake Interplanetary",""
"STORE","Cutlass Black","StoreShip","110","110","[object Object]","Drake Interplanetary",""
"STORE","Cutlass Black","StoreShip","110","110","[object Object]","Drake Interplanetary",""
"STORE","Cutlass Blue","StoreShip","175","175","[object Object]","Drake Interplanetary",""
"STORE","Cutlass Blue","StoreShip","175","175","[object Object]","Drake Interplanetary",""
"STORE","Cutlass Red","StoreShip","135","135","[object Object]","Drake Interplanetary",""
"STORE","Cutlass Red","StoreShip","135","135","[object Object]","Drake Interplanetary",""
"STORE","Cutlass Steel","StoreShip","235","235","[object Object]","Drake Interplanetary",""
"STORE","Cutter","StoreShip","45","45","[object Object]","Drake Interplanetary",""
"STORE","Cutter Rambler","StoreShip","50","50","[object Object]","Drake Interplanetary",""
"STORE","Cutter Scout","StoreShip","50","50","[object Object]","Drake Interplanetary",""
"STORE","Dragonfly","StoreShip","40","40","[object Object]","Drake Interplanetary",""
"STORE","Dragonfly Star Kitten","StoreShip","40","40","[object Object]","Drake Interplanetary",""
"STORE","Dragonfly Yellowjacket","StoreShip","40","40","[object Object]","Drake Interplanetary",""
"STORE","Golem","StoreShip","60","60","[object Object]","Drake Interplanetary",""
"STORE","Golem OX","StoreShip","90","90","[object Object]","Drake Interplanetary",""
"STORE","Golem Wikelo Work Special","StoreShip","60","60","[object Object]","Drake Interplanetary",""
"STORE","Herald","StoreShip","85","85","[object Object]","Drake Interplanetary",""
"STORE","Ironclad","StoreShip","600","600","[object Object]","Drake Interplanetary",""
"STORE","Ironclad Assault","StoreShip","650","650","[object Object]","Drake Interplanetary",""
"STORE","Mule","StoreShip","45","45","[object Object]","Drake Interplanetary",""
"STORE","Vulture","StoreShip","175","175","[object Object]","Drake Interplanetary",""
